Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
1,Nikola Jokić,C,28,DEN,79,2737,31.0,.650,.164,.310,9.3,29.6,19.8,42.0,2.0,2.1,12.9,29.3,,12.0,5.1,17.0,.299,,9.0,4.2,13.2,10.6,jokicni01
2,Giannis Antetokounmpo,PF,29,MIL,73,2567,29.9,.649,.091,.571,8.6,27.0,17.9,32.7,1.6,2.6,12.7,33.0,,9.5,3.7,13.2,.246,,6.7,2.4,9.0,7.2,antetgi01
3,Shai Gilgeous-Alexander,PG,25,OKC,75,2553,29.3,.636,.181,.436,3.0,14.7,9.1,29.8,2.8,2.4,8.4,32.8,,10.5,4.2,14.6,.275,,6.7,2.3,9.0,7.1,gilgesh01
4,Luka Dončić,PG,24,DAL,70,2624,28.1,.617,.450,.368,2.5,24.4,13.5,44.3,1.8,1.3,12.8,36.0,,8.5,3.5,12.0,.220,,8.3,1.7,9.9,8.0,doncilu01
5,Anthony Davis,C,30,LAL,76,2700,25.8,.621,.083,.402,10.4,28.3,19.8,15.5,1.6,5.7,9.5,26.7,,7.2,4.7,11.8,.210,,3.5,1.7,5.1,4.9,davisan02
6,LeBron James,PF,39,LAL,71,2504,23.7,.630,.286,.318,2.8,19.3,11.5,37.5,1.7,1.3,14.5,29.2,,5.7,2.8,8.5,.164,,5.5,0.9,6.5,5.4,jamesle01
7,Jalen Brunson,PG,27,NYK,77,2726,23.4,.592,.319,.302,1.8,9.7,5.7,33.5,1.3,0.4,9.1,32.5,,8.8,2.4,11.2,.198,,6.3,-0.4,5.8,5.4,brunsja01
8,Tyrese Haliburton,PG,23,IND,69,2224,23.3,.605,.510,.217,1.8,12.0,6.9,44.9,1.8,1.7,12.2,24.6,,7.6,1.5,9.0,.195,,7.3,-0.4,6.9,5.0,halibty01
9,Kawhi Leonard,SF,32,LAC,68,2330,23.2,.626,.289,.246,4.2,15.6,10.1,16.9,2.4,2.3,8.5,26.5,,6.0,2.9,8.9,.184,,4.8,0.6,5.5,4.4,leonaka01
10,Kristaps Porziņģis,C,28,BOS,57,1690,23.2,.647,.390,.402,6.5,19.1,13.1,10.0,1.2,5.8,9.1,25.1,,4.9,3.0,7.9,.226,,3.5,1.6,5.1,3.0,porzikr01
