PLAYER_ID,PLAYER_NAME,Pos,Age,GP,MIN,FG_PCT,FG3_PCT,FT_PCT,OREB,DREB,AST,TOV,STL,BLK,PTS,PLUS_MINUS,WS/48,BPM,VORP,PER,SALARY
1630639,A.J. Lawson,SG,23,0.494,0.187,0.446,0.26,0.652,0.065,0.089,0.046,0.068,0.095,0.028,0.092,0.62,0.661,0.473,-0.617,0.576,1000000
1631100,AJ Griffin,SF,20,0.229,0.217,0.29,0.256,0.9,0.022,0.079,0.028,0.091,0.048,0.028,0.069,0.481,0.495,0.375,-0.705,0.391,3712920
203932,Aaron Gordon,PF,28,0.867,0.832,0.556,0.29,0.658,0.522,0.406,0.321,0.318,0.381,0.167,0.401,0.87,0.78,0.588,1.231,0.68,22266182
1628988,Aaron Holiday,PG,27,0.928,0.425,0.446,0.387,0.9,0.065,0.129,0.165,0.159,0.238,0.028,0.19,0.653,0.722,0.533,-0.265,0.581,2019706
1630174,Aaron Nesmith,SF,24,0.855,0.73,0.496,0.419,0.781,0.196,0.287,0.138,0.205,0.429,0.194,0.352,0.704,0.727,0.553,0.263,0.606,5634257
1630598,Aaron Wiggins,SG,25,0.928,0.409,0.562,0.492,0.789,0.174,0.158,0.101,0.159,0.333,0.056,0.199,0.657,0.776,0.576,0.263,0.657,1836096
1641745,Adam Flagler,SG,24,0.012,0.176,0.2,0.2,0.5,0.0,0.0,0.183,0.0,0.0,0.0,0.043,0.602,0.453,0.355,-0.441,0.38,
1641766,Adama Sanogo,PF,21,0.096,0.184,0.519,0.2,0.667,0.457,0.188,0.0,0.136,0.048,0.0,0.115,0.778,0.764,0.432,-0.529,0.774,
1629678,Admiral Schofield,PF,26,0.265,0.088,0.385,0.375,0.5,0.022,0.059,0.028,0.045,0.0,0.0,0.032,0.574,0.629,0.467,-0.529,0.48,
201143,Al Horford,C,37,0.771,0.706,0.511,0.419,0.867,0.283,0.505,0.239,0.159,0.286,0.278,0.248,0.903,0.805,0.633,1.759,0.646,10000000
202692,Alec Burks,SG,32,0.783,0.481,0.369,0.376,0.868,0.087,0.188,0.119,0.159,0.19,0.056,0.3,0.421,0.68,0.518,-0.529,0.607,10489600
1630197,Aleksej Pokusevski,PF,22,0.325,0.377,0.405,0.327,0.732,0.13,0.257,0.119,0.159,0.238,0.139,0.15,0.481,0.676,0.525,-0.441,0.604,5574809
1627936,Alex Caruso,SG,29,0.843,0.757,0.468,0.408,0.76,0.196,0.297,0.321,0.318,0.81,0.278,0.291,0.606,0.745,0.611,1.583,0.637,9460000
1641788,Alex Fudge,SF,20,0.06,0.168,0.4,0.2,0.9,0.152,0.02,0.0,0.068,0.238,0.0,0.072,0.301,0.615,0.461,-0.441,0.55,
203458,Alex Len,C,30,0.566,0.238,0.617,0.2,0.588,0.217,0.168,0.092,0.136,0.095,0.194,0.072,0.741,0.769,0.566,-0.265,0.641,2019706
1631214,Alondes Williams,SG,24,0.072,0.048,0.25,0.2,0.9,0.0,0.01,0.0,0.068,0.0,0.028,0.02,0.468,0.243,0.109,-0.529,0.222,
1630578,Alperen Sengun,C,21,0.747,0.858,0.537,0.297,0.693,0.63,0.634,0.459,0.591,0.571,0.194,0.608,0.639,0.796,0.658,2.639,0.776,3536280
1641735,Amari Bailey,PG,19,0.108,0.163,0.333,0.2,0.857,0.13,0.03,0.064,0.091,0.143,0.0,0.066,0.625,0.576,0.4,-0.529,0.548,
1641708,Amen Thompson,SF,21,0.735,0.588,0.536,0.2,0.684,0.522,0.416,0.239,0.341,0.619,0.167,0.274,0.634,0.781,0.598,0.703,0.706,8809320
1629599,Amir Coffey,SF,26,0.831,0.548,0.472,0.38,0.859,0.087,0.168,0.101,0.114,0.286,0.056,0.19,0.542,0.712,0.52,-0.529,0.554,3666667
203083,Andre Drummond,C,30,0.94,0.447,0.556,0.2,0.592,0.739,0.554,0.046,0.227,0.429,0.167,0.242,0.616,0.809,0.564,0.175,0.794,3360000
1641748,Andre Jackson Jr.,SG,22,0.675,0.257,0.5,0.37,0.727,0.174,0.119,0.083,0.114,0.143,0.028,0.063,0.528,0.709,0.492,-0.617,0.526,1119563
1641847,Andrew Funk,SG,24,0.048,0.061,0.2,0.2,0.5,0.0,0.0,0.0,0.0,0.095,0.056,0.0,0.639,0.354,0.281,-0.441,0.276,
1629614,Andrew Nembhard,PG,24,0.807,0.658,0.498,0.357,0.804,0.109,0.149,0.376,0.341,0.429,0.028,0.265,0.648,0.683,0.52,-0.529,0.578,2131905
203952,Andrew Wiggins,SF,28,0.843,0.711,0.453,0.358,0.751,0.326,0.297,0.156,0.273,0.286,0.167,0.38,0.565,0.697,0.514,-0.705,0.604,24330357
1629014,Anfernee Simons,SG,24,0.542,0.909,0.43,0.385,0.9,0.109,0.317,0.505,0.614,0.238,0.028,0.651,0.269,0.695,0.566,0.263,0.663,24107143
1641710,Anthony Black,PG,20,0.819,0.441,0.466,0.394,0.613,0.109,0.149,0.119,0.182,0.238,0.083,0.133,0.579,0.694,0.504,-0.705,0.524,7245480
203076,Anthony Davis,C,30,0.904,0.939,0.556,0.271,0.816,0.674,0.941,0.321,0.477,0.571,0.639,0.712,0.694,0.846,0.662,3.0,0.846,40600080
1630162,Anthony Edwards,SG,22,0.94,0.928,0.461,0.357,0.836,0.152,0.475,0.468,0.705,0.619,0.139,0.746,0.856,0.761,0.627,2.815,0.733,13534817
1630264,Anthony Gill,PF,31,0.59,0.238,0.469,0.244,0.806,0.152,0.109,0.064,0.114,0.143,0.056,0.11,0.606,0.663,0.482,-0.705,0.593,1997238
1629717,Armoni Brooks,PG,25,0.108,0.267,0.326,0.344,0.5,0.152,0.109,0.046,0.068,0.048,0.028,0.121,0.731,0.603,0.449,-0.529,0.522,
1630204,Ashton Hagans,PG,24,0.217,0.433,0.408,0.32,0.824,0.152,0.158,0.257,0.364,0.286,0.139,0.121,0.593,0.629,0.494,-0.529,0.526,103550
1641709,Ausar Thompson,SF,21,0.747,0.66,0.483,0.2,0.597,0.435,0.426,0.174,0.295,0.524,0.25,0.254,0.431,0.679,0.52,-0.529,0.606,7977480
1630559,Austin Reaves,SG,25,0.976,0.848,0.486,0.367,0.853,0.152,0.356,0.505,0.477,0.381,0.083,0.458,0.579,0.737,0.57,0.967,0.656,12015150
1630245,Ayo Dosunmu,SG,24,0.904,0.767,0.501,0.403,0.81,0.152,0.208,0.294,0.318,0.429,0.139,0.352,0.505,0.717,0.547,0.175,0.617,6481482
1628389,Bam Adebayo,C,26,0.843,0.898,0.521,0.357,0.755,0.478,0.802,0.358,0.523,0.524,0.25,0.556,0.634,0.776,0.609,1.935,0.735,32600060
1641767,Ben Sheppard,SG,22,0.675,0.372,0.393,0.314,0.885,0.065,0.129,0.083,0.068,0.286,0.0,0.127,0.657,0.671,0.496,-0.705,0.519,2537160
