PLAYER_ID,PLAYER_NAME,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,PTS,PLUS_MINUS,SALARY
1630639,A.J. Lawson,0.494,0.187,0.113,0.123,0.597,0.062,0.102,0.26,0.039,0.043,0.065,0.089,0.088,0.046,0.068,0.095,0.028,0.092,0.62,1000000
1631260,AJ Green,0.663,0.283,0.13,0.148,0.566,0.25,0.254,0.408,0.029,0.026,0.043,0.099,0.08,0.046,0.045,0.095,0.028,0.13,0.644,
1631100,AJ Griffin,0.229,0.217,0.078,0.131,0.388,0.104,0.169,0.256,0.01,0.009,0.022,0.079,0.066,0.028,0.091,0.048,0.028,0.069,0.481,3712920
203932,Aaron Gordon,0.867,0.832,0.478,0.415,0.744,0.104,0.161,0.29,0.235,0.319,0.522,0.406,0.474,0.321,0.318,0.381,0.167,0.401,0.87,22266182
1628988,Aaron Holiday,0.928,0.425,0.209,0.225,0.597,0.229,0.237,0.387,0.069,0.069,0.065,0.129,0.117,0.165,0.159,0.238,0.028,0.19,0.653,2019706
1630174,Aaron Nesmith,0.855,0.73,0.383,0.373,0.664,0.396,0.39,0.419,0.147,0.164,0.196,0.287,0.277,0.138,0.205,0.429,0.194,0.352,0.704,5634257
1630598,Aaron Wiggins,0.928,0.409,0.235,0.203,0.752,0.167,0.136,0.492,0.069,0.078,0.174,0.158,0.175,0.101,0.159,0.333,0.056,0.199,0.657,1836096
1641745,Adam Flagler,0.012,0.176,0.043,0.148,0.191,0.104,0.254,0.167,0.0,0.0,0.0,0.0,0.0,0.183,0.0,0.0,0.0,0.043,0.602,
1641766,Adama Sanogo,0.096,0.184,0.139,0.127,0.695,0.0,0.0,0.0,0.088,0.112,0.457,0.188,0.292,0.0,0.136,0.048,0.0,0.115,0.778,
1629678,Admiral Schofield,0.265,0.088,0.035,0.047,0.515,0.062,0.059,0.375,0.0,0.009,0.022,0.059,0.051,0.028,0.045,0.0,0.0,0.032,0.574,
201143,Al Horford,0.771,0.706,0.287,0.271,0.684,0.354,0.339,0.419,0.039,0.043,0.283,0.505,0.467,0.239,0.159,0.286,0.278,0.248,0.903,10000000
202692,Alec Burks,0.783,0.481,0.278,0.364,0.494,0.396,0.424,0.376,0.216,0.216,0.087,0.188,0.168,0.119,0.159,0.19,0.056,0.3,0.421,10489600
1630197,Aleksej Pokusevski,0.325,0.377,0.157,0.182,0.542,0.125,0.169,0.327,0.108,0.129,0.13,0.257,0.234,0.119,0.159,0.238,0.139,0.15,0.481,5574809
1627936,Alex Caruso,0.843,0.757,0.313,0.322,0.627,0.396,0.398,0.408,0.098,0.121,0.196,0.297,0.277,0.321,0.318,0.81,0.278,0.291,0.606,9460000
1641788,Alex Fudge,0.06,0.168,0.087,0.106,0.535,0.042,0.068,0.2,0.029,0.026,0.152,0.02,0.058,0.0,0.068,0.238,0.0,0.072,0.301,
203458,Alex Len,0.566,0.238,0.087,0.072,0.826,0.0,0.008,0.0,0.039,0.06,0.217,0.168,0.197,0.092,0.136,0.095,0.194,0.072,0.741,2019706
1631214,Alondes Williams,0.072,0.048,0.026,0.047,0.335,0.0,0.051,0.0,0.01,0.009,0.0,0.01,0.007,0.0,0.068,0.0,0.028,0.02,0.468,
1630578,Alperen Sengun,0.747,0.858,0.73,0.661,0.719,0.104,0.153,0.297,0.382,0.483,0.63,0.634,0.679,0.459,0.591,0.571,0.194,0.608,0.639,3536280
1641735,Amari Bailey,0.108,0.163,0.07,0.102,0.446,0.021,0.068,0.125,0.059,0.06,0.13,0.03,0.066,0.064,0.091,0.143,0.0,0.066,0.625,
1641708,Amen Thompson,0.735,0.588,0.339,0.305,0.718,0.021,0.076,0.138,0.167,0.216,0.522,0.416,0.482,0.239,0.341,0.619,0.167,0.274,0.634,8809320
1629599,Amir Coffey,0.831,0.548,0.209,0.212,0.632,0.208,0.22,0.38,0.088,0.086,0.087,0.168,0.153,0.101,0.114,0.286,0.056,0.19,0.542,3666667
203083,Andre Drummond,0.94,0.447,0.296,0.258,0.744,0.0,0.0,0.0,0.157,0.241,0.739,0.554,0.657,0.046,0.227,0.429,0.167,0.242,0.616,3360000
1641748,Andre Jackson Jr.,0.675,0.257,0.078,0.076,0.669,0.062,0.068,0.37,0.01,0.017,0.174,0.119,0.146,0.083,0.114,0.143,0.028,0.063,0.528,1119563
1641847,Andrew Funk,0.048,0.061,0.0,0.034,0.0,0.0,0.051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.095,0.056,0.0,0.639,
1629614,Andrew Nembhard,0.807,0.658,0.33,0.326,0.667,0.188,0.212,0.357,0.069,0.069,0.109,0.149,0.153,0.376,0.341,0.429,0.028,0.265,0.648,2131905
203952,Andrew Wiggins,0.843,0.711,0.435,0.466,0.606,0.271,0.305,0.358,0.196,0.233,0.326,0.297,0.328,0.156,0.273,0.286,0.167,0.38,0.565,24330357
1629014,Anfernee Simons,0.542,0.909,0.678,0.771,0.576,0.708,0.746,0.385,0.343,0.336,0.109,0.317,0.263,0.505,0.614,0.238,0.028,0.651,0.269,24107143
1641710,Anthony Black,0.819,0.441,0.148,0.153,0.624,0.104,0.119,0.394,0.069,0.103,0.109,0.149,0.146,0.119,0.182,0.238,0.083,0.133,0.579,7245480
203076,Anthony Davis,0.904,0.939,0.817,0.716,0.744,0.083,0.119,0.271,0.539,0.586,0.674,0.941,0.92,0.321,0.477,0.571,0.639,0.712,0.694,40600080
1630162,Anthony Edwards,0.94,0.928,0.791,0.835,0.617,0.5,0.568,0.357,0.529,0.552,0.152,0.475,0.394,0.468,0.705,0.619,0.139,0.746,0.856,13534817
1630264,Anthony Gill,0.59,0.238,0.13,0.136,0.628,0.042,0.068,0.244,0.059,0.06,0.152,0.109,0.139,0.064,0.114,0.143,0.056,0.11,0.606,1997238
